release year,ratingDescription,user rating score,user rating size
1940,35.0,61.0,80.0
1978,60.0,86.0,80.0
1982,60.0,68.0,80.0
1986,35.0,67.0,80.0
1987,60.0,58.0,80.0
1989,60.0,80.0,80.0
1990,41.0,65.0,80.0
1992,35.0,70.0,80.0
1993,51.666666666666664,87.0,80.0
1994,60.0,80.0,80.0
1995,47.5,69.0,80.0
1997,41.2,80.8,80.0
1998,55.2,79.0,80.0
1999,52.5,78.25,80.0
2000,35.0,85.0,80.0
2001,80.0,87.0,80.0
2002,60.0,90.5,80.0
2003,61.4,72.6,80.0
2004,58.333333333333336,83.0,80.0
2005,66.42857142857143,88.14285714285714,80.0
2006,63.57142857142857,69.28571428571429,80.0
2007,31.2,73.2,80.0
2008,71.66666666666667,79.83333333333333,80.0
2009,55.0,75.0,80.0
2010,66.16666666666667,78.33333333333333,80.0
2011,90.0,89.0,80.0
2012,78.4375,79.4375,80.0
2013,88.54545454545455,76.9090909090909,80.0
2014,79.58333333333333,74.91666666666667,80.0
2015,73.25,82.75,80.0
2016,84.19767441860465,84.31395348837209,80.0
2017,98.9375,88.125,80.0
